t,angular_displacement,angular_velocity
0.133,1.605,-1.032
0.15,1.569,-3.361
0.167,1.493,-5.789
0.183,1.376,-7.988
0.2,1.226,-9.643
0.217,1.055,-11.86
0.233,0.831,-12.78
0.25,0.629,-14.22
0.267,0.357,-15.09
0.283,7.47E-02,-14.57
0.3,-0.129,-13.87
0.317,-0.443,-13.09
0.333,-0.591,-12.8
0.35,-0.77,-11.2
0.367,-0.964,-10.99
0.383,-1.136,-8.768
0.4,-1.257,-5.177
0.417,-1.309,-3.911
0.433,-1.387,-1.605
0.45,-1.362,0.634
0.467,-1.366,2.13
0.483,-1.291,4.967
0.5,-1.2,6.526
0.517,-1.073,7.309
0.533,-0.923,8.849
0.55,-0.745,9.9
0.567,-0.55,11.04
0.583,-0.377,11.25
0.6,-0.175,12.02
0.617,2.33E-02,12.13
0.633,0.229,12.2
0.65,0.43,11.54
0.667,0.614,10.05
0.683,0.765,8.103
0.7,0.884,6.182
0.717,0.971,3.741
0.733,1.01E+00,1.592
0.75,1.024,-4.74E-02
0.767,1.007,-2.125
0.783,0.953,-4.113
0.8,0.87,-5.838
0.817,0.759,-7.391
0.833,0.623,-8.532
0.85,0.474,-9.463
0.867,0.308,-10.1
0.883,0.138,-10.11
0.9,-2.91E-02,-9.973
0.917,-0.195,-9.859
0.933,-0.358,-9.573
0.95,-0.514,-8.544
0.967,-0.643,-7.237
0.983,-0.755,-5.851
1,-0.838,-4.138
1.018,-0.9,-2.638
1.035,-0.93,-1.148
1.052,-0.938,0.286
1.068,-0.92,1.875
1.085,-0.876,3.557
1.102,-0.802,5.134
1.118,-0.705,6.35
1.135,-0.59,7.176
1.152,-0.465,7.692
1.168,-0.334,7.976
1.185,-0.2,8.24
1.202,-5.91E-02,8.484
1.218,8.32E-02,8.319
1.235,0.218,7.711
1.252,0.34,6.741
1.268,0.443,5.504
1.285,0.524,4.284
1.302,0.586,2.853
1.318,6.19E-01,1.319
1.335,0.63,-4.08E-02
1.352,0.617,-1.48
1.368,0.58,-2.844
1.385,0.523,-4.007
1.402,0.447,-5.049
1.418,0.354,-5.988
1.435,0.247,-6.611
1.452,0.134,-6.816
1.468,2.00E-02,-6.777
1.485,-9.20E-02,-6.637
1.502,-0.201,-6.423
1.518,-0.306,-6.005
1.535,-0.401,-5.295
1.552,-0.483,-4.249
1.568,-0.543,-3.295
1.585,-0.592,-2.12
1.602,-0.614,-1.043
1.618,-0.627,-0.179
1.635,-0.62,1.089
1.652,-0.591,2.15
1.668,-0.548,3.017
1.685,-0.49,3.913
1.702,-0.418,4.607
1.718,-0.337,5.127
1.735,-0.247,5.374
1.752,-0.158,5.343
1.768,-6.86E-02,5.258
1.785,1.77E-02,5.05
1.802,9.98E-02,4.65
1.818,0.173,4.048
1.835,0.235,3.37
1.852,0.285,2.59
1.868,0.321,1.597
1.885,0.338,0.612
1.902,0.341,-0.3
1.918,0.328,-1.129
1.935,0.304,-1.828
1.952,0.267,-2.485
1.968,0.221,-2.989
1.985,0.168,-3.354
2.002,0.109,-3.587
2.018,4.81E-02,-3.778
2.035,-1.68E-02,-3.89
2.052,-8.16E-02,-3.832
2.068,-0.145,-3.623
2.085,-0.202,-3.26
2.102,-0.253,-2.742
2.118,-0.294,-2.163
2.135,-0.325,-1.59
2.152,-0.347,-0.996
2.168,-0.359,-0.36
2.185,-0.359,0.27
2.202,-0.35,0.836
2.218,-0.331,1.333
2.235,-0.305,1.758
2.252,-0.272,2.185
2.268,-0.232,2.516
2.285,-0.188,2.625
2.302,-0.145,2.671
2.318,-9.93E-02,2.535
2.335,-6.03E-02,2.393
2.352,-1.96E-02,2.309
2.368,1.66E-02,2.042
2.385,4.85E-02,1.616
2.402,7.05E-02,1.184
2.418,8.80E-02,0.769
2.435,9.62E-02,0.232
2.452,9.57E-02,-0.138
2.468,9.16E-02,-0.352
2.485,8.40E-02,-0.612
2.502,7.12E-02,-0.859
2.518,5.53E-02,-1.012
2.535,3.74E-02,-1.137
2.552,1.75E-02,-1.231
2.568,-3.61E-03,-1.301
2.585,-2.59E-02,-1.349
2.602,-4.86E-02,-1.284
2.618,-6.87E-02,-1.148
2.635,-8.68E-02,-0.981
2.652,-0.101,-0.77
2.668,-0.113,-0.536
2.685,-0.119,-0.302
2.702,-1.23E-01,-0.102
2.718,-0.123,2.41E-02
2.735,-0.122,0.11
2.752,-1.19E-01,0.138
2.768,-0.117,9.83E-02
2.785,-0.116,0.115
2.802,-0.113,0.154
2.818,-1.11E-01,0.122
2.835,-0.109,8.74E-02
2.852,-0.108,0.115
2.868,-1.05E-01,0.111
2.885,-1.04E-01,7.14E-02
2.902,-1.03E-01,5.04E-02
2.918,-1.02E-01,2.59E-02
2.935,-1.02E-01,5.91E-03
2.952,-1.02E-01,-1.28E-02
2.968,-1.03E-01,-1.29E-02
2.985,-1.03E-01,7.80E-03
3.002,-1.02E-01,-5.28E-02
3.018,-1.04E-01,-4.84E-02
3.035,-1.04E-01,1.77E-02
3.052,-1.04E-01,-1.34E-03
3.068,-1.04E-01,-1.48E-02
3.085,-1.04E-01,6.58E-03
3.102,-1.04E-01,2.03E-02
3.118,-1.04E-01,1.98E-02
3.135,-1.03E-01,1.90E-02
3.152,-1.03E-01,5.94E-05
3.168,-1.03E-01,-1.37E-02
3.185,-1.03E-01,-5.59E-03
3.202,-1.03E-01,7.48E-05
3.218,-1.03E-01,-8.21E-03
3.235,-1.04E-01,-5.58E-03
3.252,-1.04E-01,-5.47E-03
3.268,-1.04E-01,-1.02E-02
3.285,-1.04E-01,2.60E-03
3.302,-1.04E-01,8.50E-03
3.318,-1.04E-01,2.09E-03
3.335,-0.104,3.60E-03